N,Etiqueta,TS,ciudad,nodo_concentrador,nodo_estandar,nodo_backup,ruta,caja_codigo,color_buffer
609,CUE-Bellavista (A)-Molleturo (E)/N/A-F02-PC06B-NAR,CUE,,,,,,,
610,CUE-Bellavista (A)-Molleturo (E)/N/A-F02-PC05B-NAR,CUE,,,,,,,
611,CUE-Bellavista (A)-Molleturo (E)/N/A-F02-PC04B-NAR,CUE,,,,,,,
612,CUE-Bellavista (A)-Molleturo (E)/N/A-F02-PC03B-AZU,CUE,,,,,,,
613,CUE-Bellavista (A)-Molleturo (E)/N/A-F02-PC02B-AZU,CUE,,,,,,,
614,CUE-Bellavista (A)-Molleturo (E)/N/A-F02-PC01B-AZU,CUE,,,,,,,
615,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC64B-CEL,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC64B,CEL
616,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC63B-CEL,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC63B,CEL
617,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC62B-CEL,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC62B,CEL
618,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC61B-CEL,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC61B,CEL
619,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC60B-CEL,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC60B,CEL
620,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC59B-CEL,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC59B,CEL
621,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC58B-ROS,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC58B,ROS
622,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC57B-ROS,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC57B,ROS
623,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC56B-ROS,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC56B,ROS
624,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC55B-ROS,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC55B,ROS
625,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC54B-ROS,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC54B,ROS
