N,Etiqueta,TS,ciudad,nodo_concentrador,nodo_estandar,nodo_backup,ruta,caja_codigo,color_buffer
839,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC16B-BLA,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC16B,BLA
840,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC15B-BLA,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC15B,BLA
841,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC14B-BLA,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC14B,BLA
842,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC13B-BLA,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC13B,BLA
843,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC12B-GRI,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC12B,GRI
844,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC11B-GRI,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC11B,GRI
845,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC10B-GRI,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC10B,GRI
846,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC09B-GRI,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC09B,GRI
847,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC08B-CAF,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC08B,CAF
848,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC07B-CAF,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC07B,CAF
849,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC06B-CAF,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC06B,CAF
850,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC05B-CAF,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC05B,CAF
851,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC04B-VER,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC04B,VER
852,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC03B-VER,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC03B,VER
853,PVO-Portoviejo (A)-San Alejo (E)(B)/San Alejo (E)(A)-F01-PC02B-VER,MNT,PVO,Portoviejo (A),San Alejo (E)(B),San Alejo (E)(A),F01,PC02B,VER
854,PVO-Portoviejo (A)-San Alejo (E)(A)/San Alejo (E)(B)-F01-PC01B-VER,MNT,PVO,Portoviejo (A),San Alejo (E)(A),San Alejo (E)(B),F01,PC01B,VER
855,SCR-Parrales (A)-Sucre (E)/N/A-F03-PC12B-CAF,MNT,,,,,,,
856,SCR-Parrales (A)-Sucre (E)/N/A-F03-PC11B-CAF,MNT,,,,,,,
857,SCR-Parrales (A)-Sucre (E)/N/A-F03-PC10B-CAF,MNT,,,,,,,
858,SCR-Parrales (A)-Sucre (E)/N/A-F03-PC09B-VER,MNT,,,,,,,
859,SCR-Parrales (A)-Sucre (E)/N/A-F03-PC08B-VER,MNT,,,,,,,
860,SCR-Parrales (A)-Sucre (E)/N/A-F03-PC07B-VER,MNT,,,,,,,
861,SCR-Parrales (A)-Sucre (E)/N/A-F03-PC06B-NAR,MNT,,,,,,,
862,SCR-Parrales (A)-Sucre (E)/N/A-F03-PC05B-NAR,MNT,,,,,,,
863,SCR-Parrales (A)-Sucre (E)/N/A-F03-PC04B-NAR,MNT,,,,,,,
864,SCR-Parrales (A)-Sucre (E)/N/A-F03-PC03B-AZU,MNT,,,,,,,
865,SCR-Parrales (A)-Sucre (E)/N/A-F03-PC02B-AZU,MNT,,,,,,,
866,SCR-Parrales (A)-Sucre (E)/N/A-F03-PC01B-AZU,MNT,,,,,,,
867,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC24B-CEL,MNT,,,,,,,
868,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC23B-CEL,MNT,,,,,,,
869,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC22B-ROS,MNT,,,,,,,
870,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC21B-ROS,MNT,,,,,,,
871,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC20B-VIO,MNT,,,,,,,
872,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC19B-VIO,MNT,,,,,,,
873,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC18B-AMA,MNT,,,,,,,
874,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC17B-AMA,MNT,,,,,,,
875,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC16B-NEG,MNT,,,,,,,
876,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC15B-NEG,MNT,,,,,,,
877,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC14B-ROJ,MNT,,,,,,,
878,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC13B-ROJ,MNT,,,,,,,
879,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC12B-BLA,MNT,,,,,,,
880,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC11B-BLA,MNT,,,,,,,
881,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC10B-GRI,MNT,,,,,,,
882,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC09B-GRI,MNT,,,,,,,
883,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC08B-CAF,MNT,,,,,,,
884,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC07B-CAF,MNT,,,,,,,
885,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC06B-VER,MNT,,,,,,,
886,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC05B-VER,MNT,,,,,,,
887,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC04B-NAR,MNT,,,,,,,
888,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC03B-NAR,MNT,,,,,,,
889,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC02B-AZU,MNT,,,,,,,
890,PTL-Puerto Lopez (A)-Puerto Lopez (A)/N/A-F02-PC01B-AZU,MNT,,,,,,,
891,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC28B-AMA,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC28B,AMA
892,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC27B-AMA,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC27B,AMA
893,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC26B-AMA,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC26B,AMA
894,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC25B-AMA,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC25B,AMA
895,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC24B-NEG,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC24B,NEG
896,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC23B-NEG,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC23B,NEG
897,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC22B-NEG,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC22B,NEG
898,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC21B-NEG,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC21B,NEG
899,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC20B-ROJ,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC20B,ROJ
900,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC19B-ROJ,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC19B,ROJ
901,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC18B-ROJ,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC18B,ROJ
902,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC17B-ROJ,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC17B,ROJ
903,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC16B-BLA,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC16B,BLA
904,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC15B-BLA,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC15B,BLA
905,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC14B-BLA,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC14B,BLA
906,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC40B-CEL,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC40B,CEL
907,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC39B-CEL,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC39B,CEL
908,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC38B-CEL,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC38B,CEL
909,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC37B-CEL,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC37B,CEL
910,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC36B-ROS,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC36B,ROS
911,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC35B-ROS,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC35B,ROS
912,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC34B-ROS,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC34B,ROS
913,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC33B-ROS,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC33B,ROS
914,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC32B-VIO,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC32B,VIO
915,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC31B-VIO,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC31B,VIO
916,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC30B-VIO,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC30B,VIO
917,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC29B-VIO,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC29B,VIO
918,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC13B-BLA,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC13B,BLA
919,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC12B-GRI,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC12B,GRI
920,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC11B-GRI,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC11B,GRI
921,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC10B-GRI,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC10B,GRI
922,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC09B-GRI,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC09B,GRI
923,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC08B-CAF,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC08B,CAF
924,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC07B-CAF,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC07B,CAF
925,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC06B-CAF,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC06B,CAF
926,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC05B-CAF,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC05B,CAF
927,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC04B-VER,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC04B,VER
928,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC03B-VER,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC03B,VER
929,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F01-PC02B-VER,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F01,PC02B,VER
930,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F01-PC01B-VER,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F01,PC01B,VER
931,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC40B-CEL,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC40B,CEL
932,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC39B-CEL,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC39B,CEL
933,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC38B-CEL,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC38B,CEL
934,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC37B-CEL,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC37B,CEL
935,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC36B-ROS,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC36B,ROS
936,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC35B-ROS,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC35B,ROS
937,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC34B-ROS,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC34B,ROS
938,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC33B-ROS,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC33B,ROS
939,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC32B-VIO,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC32B,VIO
940,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC31B-VIO,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC31B,VIO
941,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC30B-VIO,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC30B,VIO
942,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC29B-VIO,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC29B,VIO
943,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC28B-AMA,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC28B,AMA
944,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC27B-AMA,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC27B,AMA
945,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC26B-AMA,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC26B,AMA
946,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC25B-AMA,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC25B,AMA
947,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC24B-NEG,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC24B,NEG
948,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC23B-NEG,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC23B,NEG
949,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC22B-NEG,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC22B,NEG
950,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC21B-NEG,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC21B,NEG
951,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC20B-ROJ,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC20B,ROJ
952,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC19B-ROJ,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC19B,ROJ
953,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC18B-ROJ,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC18B,ROJ
954,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC17B-ROJ,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC17B,ROJ
955,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC16B-BLA,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC16B,BLA
956,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC15B-BLA,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC15B,BLA
957,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC14B-BLA,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC14B,BLA
958,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC13B-BLA,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC13B,BLA
959,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC12B-GRI,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC12B,GRI
960,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC11B-GRI,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC11B,GRI
961,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC10B-GRI,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC10B,GRI
962,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC09B-GRI,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC09B,GRI
963,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC08B-CAF,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC08B,CAF
964,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC07B-CAF,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC07B,CAF
965,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC06B-CAF,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC06B,CAF
966,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC05B-CAF,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC05B,CAF
967,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC04B-VER,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC04B,VER
968,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC03B-VER,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC03B,VER
969,JIP-Parrales (A)-Jipijapa SDH (A)/Parrales (A)-F02-PC02B-VER,MNT,JIP,Parrales (A),Jipijapa SDH (A),Parrales (A),F02,PC02B,VER
970,JIP-Parrales (A)-Parrales (A)/Jipijapa SDH (A)-F02-PC01B-VER,MNT,JIP,Parrales (A),Parrales (A),Jipijapa SDH (A),F02,PC01B,VER
971,STA-Portoviejo (A)-Ayacucho (E)(B)/Ayacucho (E)(A)-F01-PC24B-CAF,MNT,STA,Portoviejo (A),Ayacucho (E)(B),Ayacucho (E)(A),F01,PC24B,CAF
972,STA-Portoviejo (A)-Ayacucho (E)(A)/Ayacucho (E)(B)-F01-PC23B-CAF,MNT,STA,Portoviejo (A),Ayacucho (E)(A),Ayacucho (E)(B),F01,PC23B,CAF
973,STA-Portoviejo (A)-Ayacucho (E)(B)/Ayacucho (E)(A)-F01-PC22B-CAF,MNT,STA,Portoviejo (A),Ayacucho (E)(B),Ayacucho (E)(A),F01,PC22B,CAF
974,STA-Portoviejo (A)-Ayacucho (E)(A)/Ayacucho (E)(B)-F01-PC21B-CAF,MNT,STA,Portoviejo (A),Ayacucho (E)(A),Ayacucho (E)(B),F01,PC21B,CAF
975,STA-Portoviejo (A)-Ayacucho (E)(B)/Ayacucho (E)(A)-F01-PC20B-CAF,MNT,STA,Portoviejo (A),Ayacucho (E)(B),Ayacucho (E)(A),F01,PC20B,CAF
976,STA-Portoviejo (A)-Ayacucho (E)(A)/Ayacucho (E)(B)-F01-PC19B-CAF,MNT,STA,Portoviejo (A),Ayacucho (E)(A),Ayacucho (E)(B),F01,PC19B,CAF
977,STA-Portoviejo (A)-Ayacucho (E)(B)/Ayacucho (E)(A)-F01-PC18B-VER,MNT,STA,Portoviejo (A),Ayacucho (E)(B),Ayacucho (E)(A),F01,PC18B,VER
978,STA-Portoviejo (A)-Ayacucho (E)(A)/Ayacucho (E)(B)-F01-PC17B-VER,MNT,STA,Portoviejo (A),Ayacucho (E)(A),Ayacucho (E)(B),F01,PC17B,VER
979,STA-Portoviejo (A)-Ayacucho (E)(B)/Ayacucho (E)(A)-F01-PC16B-VER,MNT,STA,Portoviejo (A),Ayacucho (E)(B),Ayacucho (E)(A),F01,PC16B,VER
980,STA-Portoviejo (A)-Ayacucho (E)(A)/Ayacucho (E)(B)-F01-PC15B-VER,MNT,STA,Portoviejo (A),Ayacucho (E)(A),Ayacucho (E)(B),F01,PC15B,VER
981,STA-Portoviejo (A)-Ayacucho (E)(B)/Ayacucho (E)(A)-F01-PC14B-VER,MNT,STA,Portoviejo (A),Ayacucho (E)(B),Ayacucho (E)(A),F01,PC14B,VER
982,STA-Portoviejo (A)-Ayacucho (E)(A)/Ayacucho (E)(B)-F01-PC13B-VER,MNT,STA,Portoviejo (A),Ayacucho (E)(A),Ayacucho (E)(B),F01,PC13B,VER
983,STA-Portoviejo (A)-Ayacucho (E)(B)/Ayacucho (E)(A)-F01-PC12B-NAR,MNT,STA,Portoviejo (A),Ayacucho (E)(B),Ayacucho (E)(A),F01,PC12B,NAR
984,STA-Portoviejo (A)-Ayacucho (E)(A)/Ayacucho (E)(B)-F01-PC11B-NAR,MNT,STA,Portoviejo (A),Ayacucho (E)(A),Ayacucho (E)(B),F01,PC11B,NAR
985,STA-Portoviejo (A)-Ayacucho (E)(B)/Ayacucho (E)(A)-F01-PC10B-NAR,MNT,STA,Portoviejo (A),Ayacucho (E)(B),Ayacucho (E)(A),F01,PC10B,NAR
986,STA-Portoviejo (A)-Ayacucho (E)(A)/Ayacucho (E)(B)-F01-PC09B-NAR,MNT,STA,Portoviejo (A),Ayacucho (E)(A),Ayacucho (E)(B),F01,PC09B,NAR
987,STA-Portoviejo (A)-Ayacucho (E)(B)/Ayacucho (E)(A)-F01-PC08B-NAR,MNT,STA,Portoviejo (A),Ayacucho (E)(B),Ayacucho (E)(A),F01,PC08B,NAR
988,STA-Portoviejo (A)-Ayacucho (E)(A)/Ayacucho (E)(B)-F01-PC07B-NAR,MNT,STA,Portoviejo (A),Ayacucho (E)(A),Ayacucho (E)(B),F01,PC07B,NAR
989,STA-Portoviejo (A)-Ayacucho (E)(B)/Ayacucho (E)(A)-F01-PC06B-AZU,MNT,STA,Portoviejo (A),Ayacucho (E)(B),Ayacucho (E)(A),F01,PC06B,AZU
990,STA-Portoviejo (A)-Ayacucho (E)(A)/Ayacucho (E)(B)-F01-PC05B-AZU,MNT,STA,Portoviejo (A),Ayacucho (E)(A),Ayacucho (E)(B),F01,PC05B,AZU
991,STA-Portoviejo (A)-Ayacucho (E)(B)/Ayacucho (E)(A)-F01-PC04B-AZU,MNT,STA,Portoviejo (A),Ayacucho (E)(B),Ayacucho (E)(A),F01,PC04B,AZU
992,STA-Portoviejo (A)-Ayacucho (E)(A)/Ayacucho (E)(B)-F01-PC03B-AZU,MNT,STA,Portoviejo (A),Ayacucho (E)(A),Ayacucho (E)(B),F01,PC03B,AZU
993,STA-Portoviejo (A)-Ayacucho (E)(B)/Ayacucho (E)(A)-F01-PC02B-AZU,MNT,STA,Portoviejo (A),Ayacucho (E)(B),Ayacucho (E)(A),F01,PC02B,AZU
994,STA-Portoviejo (A)-Ayacucho (E)(A)/Ayacucho (E)(B)-F01-PC01B-AZU,MNT,STA,Portoviejo (A),Ayacucho (E)(A),Ayacucho (E)(B),F01,PC01B,AZU
995,MOT-Manta SDH (A)-La Pradera (E)/San Andres (E)-F01-PC47B-GRI,MNT,MOT,Manta SDH (A),La Pradera (E),San Andres (E),F01,PC47B,GRI
996,MOT-Manta SDH (A)-Los Bajos (E)/N/A-F02-PC12B-CAF,MNT,,,,,,,
997,MOT-Manta SDH (A)-Los Bajos (E)/N/A-F02-PC11B-CAF,MNT,,,,,,,
998,MOT-Manta SDH (A)-Los Bajos (E)/N/A-F02-PC10B-CAF,MNT,,,,,,,
999,MOT-Manta SDH (A)-Los Bajos (E)/N/A-F02-PC09B-VER,MNT,,,,,,,
1000,MOT-Manta SDH (A)-Los Bajos (E)/N/A-F02-PC08B-VER,MNT,,,,,,,
